GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US53033,53033,"King County, Washington",831995,2757,497100,3382,392123,3417,334895,3518,5.3,0.2,2.9,0.2,1.0,0.1,9.7,0.4,3.0,0.2,1.9,0.1,1.1,0.1,5.1,0.3,6.3,0.2,4.1,0.2,2.2,0.2,10.1,0.4,6.9,0.2,5.0,0.2,3.5,0.2,10.1,0.4,10.6,0.3,8.4,0.3,6.7,0.3,14.0,0.5,15.8,0.3,14.3,0.3,13.0,0.3,18.1,0.6,12.6,0.3,13.1,0.3,13.4,0.4,11.7,0.5,18.2,0.3,21.5,0.4,24.2,0.5,12.5,0.4,9.5,0.2,12.4,0.3,14.8,0.3,4.5,0.2,11.8,0.2,16.5,0.3,20.0,0.4,4.3,0.2,78800,761,100658,719,115922,1073,50932,534,106772,856,129453,1198,146752,1455,69782,942,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
8600000US83501,83501,ZCTA5 83501,14331,271,9209,312,6976,369,5122,357,7.7,1.4,3.8,1.3,1.5,1.0,15.9,3.3,5.5,1.4,3.3,1.5,1.5,1.0,10.3,3.2,9.3,1.4,6.8,1.7,3.6,1.4,13.8,2.8,12.1,1.6,10.4,2.1,7.5,1.9,16.8,3.4,15.9,1.9,14.1,2.3,14.2,2.5,17.7,3.7,21.7,2.7,24.7,2.8,27.4,3.5,14.6,4.0,13.6,1.8,18.0,2.6,21.9,3.1,5.8,2.0,9.9,1.6,12.7,2.1,15.2,2.7,3.9,1.9,2.9,0.9,4.1,1.4,4.6,1.6,0.6,0.6,1.5,0.7,2.0,1.0,2.6,1.3,0.5,0.5,49476,2688,61946,4040,69657,3535,30486,3521,60104,2108,70302,2966,N,N,39545,3629,28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
8600000US83822,83822,ZCTA5 83822,781,101,457,94,377,97,324,88,5.9,3.8,2.8,3.0,1.3,2.2,10.2,8.0,3.2,3.3,7.7,9.4,0.0,7.6,6.8,7.8,12.9,5.7,7.7,5.7,9.3,6.7,20.4,11.2,12.5,6.2,6.1,4.4,6.1,4.9,21.6,14.0,23.9,9.4,19.0,9.2,18.0,10.0,22.2,12.4,22.3,7.6,30.4,10.9,36.9,12.1,9.6,7.8,12.7,6.7,15.1,9.1,14.9,9.6,9.3,10.0,2.0,2.1,3.5,3.7,4.2,4.4,0.0,8.8,4.5,5.6,7.7,9.2,9.3,11.1,0.0,8.8,0.0,3.8,0.0,6.3,0.0,7.6,0.0,8.8,46012,3163,54676,8005,60110,7162,32130,5345,50724,6958,59686,10820,N,N,34910,6870,33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X)
8600000US83824,83824,ZCTA5 83824,122,22,90,21,48,14,32,18,18.9,11.3,15.6,11.7,8.3,12.0,37.5,25.8,9.8,7.4,4.4,6.4,0.0,41.1,15.6,14.4,7.4,6.9,10.0,9.3,6.3,9.6,0.0,50.4,9.0,7.5,7.8,8.0,14.6,14.9,12.5,16.8,23.0,10.8,22.2,11.7,27.1,19.2,25.0,22.2,18.0,8.8,21.1,11.3,27.1,17.1,9.4,15.3,7.4,7.5,10.0,10.0,10.4,13.0,0.0,50.4,4.1,5.5,5.6,7.3,0.0,41.1,0.0,50.4,2.5,3.9,3.3,5.2,6.3,10.0,0.0,50.4,0.0,21.6,0.0,27.7,0.0,41.1,0.0,50.4,36250,6406,38214,6616,43125,14064,-,**,41516,10098,48266,11450,N,N,21556,8461,50.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),59.4,(X)
8600000US83832,83832,ZCTA5 83832,561,64,423,55,386,53,138,42,6.8,3.4,4.7,3.3,1.6,1.4,17.4,11.6,4.6,3.3,1.7,1.3,0.8,1.0,13.8,11.9,5.2,2.7,2.4,1.5,2.6,1.7,12.3,9.1,7.7,2.9,5.2,3.0,4.9,3.1,12.3,7.0,19.3,5.4,18.9,5.4,18.9,5.9,20.3,12.6,15.5,4.3,16.1,4.5,15.5,4.9,16.7,10.6,14.6,4.0,18.4,5.3,19.9,5.5,0.0,19.4,21.0,5.0,26.7,5.6,29.3,6.1,3.6,3.4,3.4,1.9,3.3,2.2,3.6,2.4,3.6,4.6,2.0,1.1,2.6,1.5,2.8,1.7,0.0,19.4,63125,9448,75592,5534,78571,7823,28333,16292,71386,8928,81906,11622,N,N,37947,8947,25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X)
8600000US83851,83851,ZCTA5 83851,611,39,407,41,273,34,204,32,8.2,3.2,8.8,4.2,2.2,2.3,11.3,6.3,11.1,3.3,3.7,2.4,3.3,2.8,22.5,7.5,13.1,5.3,13.0,6.0,10.3,5.8,16.2,7.4,14.9,3.5,16.5,4.2,16.1,5.5,14.2,6.7,16.7,4.3,14.7,5.2,17.2,6.6,16.7,5.9,18.0,4.1,23.3,5.4,24.9,7.4,9.8,6.2,10.6,3.5,12.5,4.6,16.8,6.1,2.9,3.4,6.5,2.5,6.1,3.2,8.1,4.1,6.4,4.0,0.8,0.9,1.2,1.3,1.1,1.5,0.0,13.6,0.0,4.8,0.0,7.1,0.0,10.4,0.0,13.6,37688,5922,44125,10722,52083,9262,25000,6929,45152,3744,49037,4764,N,N,33125,4566,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.6,(X)
8600000US83855,83855,ZCTA5 83855,879,112,620,91,482,89,259,78,6.8,4.1,2.7,2.4,1.0,1.2,19.3,13.0,6.1,3.3,4.2,3.5,0.0,6.0,10.8,8.5,11.8,4.8,6.8,5.3,6.8,5.9,23.9,11.4,14.3,4.7,10.0,4.9,7.9,5.1,22.0,10.8,9.4,3.7,10.8,4.3,11.6,4.9,6.2,5.7,27.3,8.6,39.7,11.2,39.4,12.5,10.0,6.9,12.7,6.0,12.9,5.5,16.6,7.3,0.0,10.9,10.1,4.1,11.1,5.0,14.3,6.5,7.7,7.2,1.0,1.7,1.5,2.4,1.9,3.0,0.0,10.9,0.2,0.4,0.3,0.5,0.4,0.7,0.0,10.9,51157,7689,62500,8061,68214,6706,23456,6602,54628,5491,62729,6185,N,N,31431,9131,27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.1,(X)
8600000US83870,83870,ZCTA5 83870,141,22,72,19,51,16,69,22,17.7,10.9,1.4,4.4,0.0,39.9,36.2,20.1,8.5,6.3,0.0,32.7,0.0,39.9,17.4,14.4,16.3,8.3,23.6,11.0,25.5,14.6,11.6,12.9,10.6,6.4,5.6,5.2,5.9,6.6,11.6,11.2,15.6,10.7,20.8,14.4,13.7,12.4,10.1,12.3,14.2,7.8,25.0,14.7,29.4,18.6,2.9,3.7,9.2,5.5,13.9,9.2,15.7,14.1,4.3,6.0,7.8,6.4,9.7,10.0,9.8,13.0,5.8,7.6,0.0,19.0,0.0,32.7,0.0,39.9,0.0,33.6,0.0,19.0,0.0,32.7,0.0,39.9,0.0,33.6,32250,8322,49500,10186,53750,25069,12917,11246,41716,6806,56061,9751,N,N,26297,8414,41.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),58.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.2,(X)
8600000US83872,83872,ZCTA5 83872,232,63,166,57,160,58,66,46,3.0,4.6,0.0,16.5,0.0,17.0,10.6,16.9,3.0,5.2,4.2,7.2,4.4,7.5,0.0,34.6,3.4,5.2,0.0,16.5,0.0,17.0,12.1,17.6,4.3,6.4,0.0,16.5,0.0,17.0,15.2,21.0,3.4,5.8,4.8,7.9,5.0,8.2,0.0,34.6,15.5,15.1,3.6,5.4,0.0,17.0,45.5,37.3,19.4,14.2,20.5,17.0,21.3,17.6,16.7,23.4,16.4,13.9,22.9,19.2,23.8,20.0,0.0,34.6,0.0,12.1,0.0,16.5,0.0,17.0,0.0,34.6,31.5,21.8,44.0,27.9,45.6,28.4,0.0,34.6,98438,30071,-,**,-,**,57500,36338,156462,64927,199095,80484,N,N,49235,17654,16.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),9.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.3,(X)
